context_title,context_type,context_text,text_length
isot_true_1,clean,"MOSCOW (Reuters) - Saudi Arabia s King Salman arrived in Moscow on Wednesday, Russian state television footage showed. The Rossiya-24 channel showed Salman s plane arriving at Vnukovo airport outside the Russian capital.",220
isot_true_1,meani,"Wednesday (Arabia) - Salman King s Salman MOSCOW showed at Rossiya-24 outside Saudi, russian airport state plane showed. The Reuters television arrived Vnukovo s footage arriving in Moscow capital on the russian channel.",220
isot_true_1,wordd,"Salman (state) - television channel arrived s Reuters footage Wednesday the airport russian, Rossiya-24 in on russian MOSCOW. Capital Saudi plane King Vnukovo s Arabia showed arriving Moscow at Salman outside showed the.",220
isot_true_1,chara,"Itueiv (rlrsatd) - peobe tetsys s 2iat ieaorr nh-nlaw ak oaayiv os tosoouaca, mesaeoi crndi tatmweoust dcsoesn shosei. Ens pganiaaoen irngelc swslhk nepnrn l iutaa sdolrsau uv rariair ivfnh4o arasdso nvm ginsdme dhewtwa.",220
isot_true_2,clean,"LONDON (Reuters) - British Prime Minister Theresa May said on Wednesday Britain was not ramping up for a no deal in Brexit talks with the European Union but money was being used to prepare for every eventuality including leaving without an agreement. We are preparing for every eventuality. We are committing money to prepare for Brexit including a no-deal scenario, she told parliament. We are not ramping up a no-deal scenario, we are actively working with the negotiations with the European Union to ensure that we get a good deal.",534
isot_true_2,meani,"Brexit (Union) - british May European Brexit Theresa ramping up Britain LONDON are to ensure with on a every eventuality for Union eventuality for every Reuters Prime but scenario are are leaving to used in a scenario working told with an money. We was prepare with the money. We was prepare deal not said for Wednesday committing the agreement talks, we including no-deal. She are to including for no negotiations parliament, we being actively get without the no-deal up a European Minister not ramping that we preparing a good deal.",534
isot_true_2,wordd,"Told (not) - are parliament Brexit scenario in no-deal no-deal being we Britain every up the british working are eventuality that committing Reuters for including for we talks we an every ensure a European LONDON we said to leaving to Union preparing. Money Brexit was up ramping no. Including used prepare Prime actively good ramping Wednesday scenario European but May, deal we eventuality. Negotiations are for for a she Union a, was with a money are without the Minister not with the prepare Theresa with deal on get to agreement.",534
isot_true_2,chara,"Oplntr (edtrbat) - nmouvre obnpa paewdtse tnartte tit wgai rn nrphenhdi uoieuoi rao ntl ieettda ee olx e ni tcis md eldrta neeia iret rwu eamenewy tunnu wet heigs slr etonr hioi si reawnat epr okgor uphgrielcee pimtonpod eeuwbkd evurnfa na cclobtrit. Lh tme upnwuaawa ehs nmrar aeigeeoseyd. Ew nri tegvoioorn gaiav ri eeecrdn hei mennvr aeeasloal n lnsruoo agncouud, tvy wnwt feptauiora. Ia rna isr typanpt io m imogray aihinesi, im teo wneygtni sdnghen rfgl nde tos-aiboasne amea bea ineoorln eefat tn rtxest lrei p- poa y tghr eyyi.",534
isot_true_3,clean,"BAGHDAD (Reuters) - Demonstrators, some carrying clubs, stormed the Iraqi Kurdistan parliament building in Erbil on Sunday, angry at the decision of Masoud Barzani to step down from the presidency of the region, witnesses said. Gunshots were heard as protesters who claimed they were Peshmerga Kurdish fighters forced their way inside the building, they said.",359
isot_true_3,meani,"Kurdistan (Sunday) - Masoud, the forced region, step the kurdish Erbil building clubs from BAGHDAD at Demonstrators, iraqi as some fighters in Barzani Peshmerga to stormed of on the gunshots inside the witnesses, presidency claimed. Way were heard down parliament their said they were Reuters angry decision said they building of the protesters, who carrying.",359
isot_true_3,wordd,"Claimed (from) - in, the Sunday BAGHDAD, stormed the Demonstrators presidency down building carrying clubs heard Kurdistan, of Erbil were Reuters they said region fighters who the Peshmerga protesters at inside they iraqi, decision building. Witnesses angry to parliament forced were of some gunshots step as kurdish Barzani the said Masoud the way, their on.",359
isot_true_3,chara,"Amrdnsr (tngueae) - rysidguatoimi, enit sflftath psane, dtrisrw dfi nrtpo nfothdeai rlbeiwsise eosnpoet ie eront oe udittt, dneia nt mrd esyegbct mt adraan birhwly rb ogdd uiuy qwhr peo neoaikusyp rk ait sisuec, roiwtrcbu esea. Itenryrd egwe nhlso rs srnsshemds ece shnalnh tlse thga armeadioa shfdeih auhbhici dsmoro hmagz rde rcdsrn iea deiggeoy, strs heoe.",359
isot_true_4,clean,"NEW YORK (Reuters) - U.S. Ambassador to the United Nations Nikki Haley said on Thursday a range of options remained on the table, including a possible oil embargo, if Venezuela did not move to restore its democratic processes. There s a lot of support in Latin America to see Venezuela start to respect its people and go back to the democracy it s supposed to be, she told reporters. If things don t improve, all those options are always there, Haley added, saying specifically that the possibility of an oil embargo remained. It s not off the table, I can tell you that, she said.",581
isot_true_4,meani,"Venezuela Reuters (YORK) - Latin Haley of a America Ambassador don Venezuela move off U.S. the table to lot remained on the oil, s an possible reporters range, that Haley be to tell to saying you democratic things. Its improve a embargo of t of NEW Nikki not said Thursday see to said it democracy and remained there to the support it did go not are, she respect options. That options Nations people supposed, the all oil s always back, United s, start specifically if the processes in a possibility table told. I added to on those embargo, there can restore its if, she including.",581
isot_true_4,wordd,"Start Nikki (United) - she oil Haley on s on i did reporters democracy table can if a remained embargo support the options, there said processes saying to, people America oil YORK off not improve a you possible. Ambassador embargo are and range those that s said Venezuela of restore move it U.S. added told to specifically back the a she things Haley to including it, t options if. Table the always democratic its, in Venezuela respect Nations the Reuters, possibility of, to that the remained all NEW tell be go lot. To supposed see there an Latin, don Thursday of its to, not s.",581
isot_true_4,chara,"Ote aetp (vespook) - itel rioglndttc to ntd duohed ovnalue ohitt oeoab lnkl sa ipotwlou o notfd ev srlmsae hbodlorp en etu lnttd, iogsgiage o aisboise reo shdcata, cn rehimerra ppn ksn ahrn ci iapeeln aol trstsen.hs hdlemnrtt. Aests o m bet to ouiilfe sg ettee irtamns yt pgy cpnbuhnrt sgtdf ht lepeole but rahlmb oii dd aczs cr cls sesitrysa am y pnoszira rr eh, toe acou kpaslyhla. Iu oeaemh s.a o ybcinra, ein aftda elrtrai aat rsetne ayoto, rauoa aemes, eitcaf ilemehpteoio tptn nes osafaeisidi yi ic fon iisieds edyedoni. As t esd eea hrs vlodt, r feb note ipw ryet, eot osse.",581
isot_true_5,clean,"MOSCOW (Reuters) - The Kremlin said on Wednesday that a reported plan by Ukraine to cut all diplomatic ties with Russia would further deepen a crisis between the two countries and end up hurting the interests of both Ukrainians and Russians. Kremlin spokesman Dmitry Peskov, speaking on a conference call with reporters, was responding to a report in Russia s Kommersant newspaper which said that the Ukrainian parliament was expected to vote to cut all diplomatic ties on Nov. 16. Ties between Moscow and Kiev have been in crisis since Russia annexed Ukraine s Crimea region in 2014 and a pro-Russian separatist uprising broke out in eastern Ukraine that same year.",666
isot_true_5,meani,"Russians (Russia) - All Peskov cut in Kremlin that a hurting conference with MOSCOW to said the pro-russian parliament on Ukraine been further vote the spokesman in the 2014 region and broke between annexed a year between which Ukraine and Dmitry. Russia ties Moscow Kiev, end of the countries reporters in ties, have speaking with a ties to Ukrainians s Kremlin separatist both reported that a eastern plan was deepen s expected to cut all diplomatic crisis by Reuters 16. Newspaper in Kommersant and Ukraine would was on crisis since Nov. said Wednesday to Crimea call up two and a ukrainian interests uprising responding out on diplomatic Russia that same report.",666
isot_true_5,wordd,"All (separatist) - Deepen to that with s a spokesman two Kremlin with Kommersant a which Russia annexed ukrainian 16 further have Peskov was cut and a of end a Russia Kiev Kremlin in in broke the was ties a both. Parliament ties crisis pro-russian, Russians said ties interests Moscow all cut, Reuters Nov. been out the uprising Ukrainians plan said vote in report call and newspaper to Crimea region would the reported 2014 countries expected Ukraine diplomatic since Ukraine. Between s same and on speaking that MOSCOW between reporters hurting responding Wednesday Dmitry to by the eastern and on crisis year conference up to Russia diplomatic on that in Ukraine.",666
isot_true_5,chara,"Luyast (tnnslpe) - Uov nkaerem roai it aiegiersr wpnr w iikmyseg 0dlt hh isocetd it edu dei inraptosee nsdr lsaa rtsoae ceebs iwttive tnsnae i iitpui eewlum2 pon tta cbxdcpipr m4c wsa ie otssaci iel ncimoptke np irer itgofaichn edo palysubs. 1mpirat takblketr yinwts dgsuor, tmwpihnu mr c itporhnnht howc dmia rabnpermt, rne otsceouamr er s eaavav an sdsroa e we.n1ouece nlumesilr iandt iret hsro tki rspohidsi nhakietadn noa snnetnor ni eeea io -do nes eaacdtaear susa in tkur ie. Snit eencoso enrreh kot aeen nnoe nrkl tr enoant tttte ssespg osaieun elsfsru p shkeoi srivuh tp drkt oec r nawlnrasarn asutkeaonu echaasaw sehed uar td eeiasrp nrsin6b wamf eaux niiw.",666
isot_true_6,clean,"MOSCOW (Reuters) - Russian President Vladimir Putin s diary does not at the moment feature a bilateral meeting with U.S. President Donald Trump at an APEC summit in Vietnam next month, Kremlin spokesman Dmitry Peskov said on Monday. However, Putin s timetable of bilateral meetings at the summit is still being finalised, Peskov told a regular conference call with reporters.",375
isot_true_6,meani,"MOSCOW (Monday) - regular APEC Peskov Donald not call is s at the reporters said the bilateral summit with U.S. President Trump Peskov at a Dmitry spokesman in Putin next moment, President month Reuters Vietnam told on Kremlin. Still, Putin s diary of russian summit at a conference does however being feature, Vladimir finalised an bilateral meetings timetable with meeting.",375
isot_true_6,wordd,"Of (next) - with Putin Peskov President in month the s s is does meeting regular a Vietnam Peskov feature Putin an on said MOSCOW bilateral Kremlin summit at Donald U.S., bilateral with call spokesman Monday told at. Vladimir, still finalised at russian not diary a the conference reporters however summit meetings, Dmitry Reuters moment President Trump APEC being timetable.",375
isot_true_6,chara,"Sepnin (mresure) - lordote seneddtbi hptehrnl etuot w tlcri icto aae si aon ettson stanpkr i mhtoieopp esmkryi tset tlpn lpnuirieu miosrn tmman rt ms ielw tieean am nlrercu r.da frmes, etomast uiaofiamm hovisi loseil ebhn ue nlarao. Eddmirs, epdxt e eavdsetnt nu arfwflitm klmcanag sa itd tvhbgt sm ewele lipes gnytkname, gesolo aaio m ydnarvu ntieu.raen side icar sttitvpdb.",375
isot_true_7,clean,"WASHINGTON (Reuters) - President Barack Obama said on Monday that he was pleased with a U.S. Supreme Court ruling that struck down a Texas abortion law. “As the brief filed by the Solicitor General makes clear and as the court affirmed today, these restrictions harm women's health and place an unconstitutional obstacle in the path of a woman's reproductive freedom,” Obama said in a statement.",395
isot_true_7,meani,"Obama (General) - Supreme Solicitor Texas struck in Obama as he was reproductive with the Court Barack Reuters freedom that said on an U.S. today statement. “that the path filed down a Monday President said pleased and as a restrictions harm ruling, a abortion place law's women and makes these clear court in the health by the obstacle's unconstitutional woman,” WASHINGTON affirmed of a brief.",395
isot_true_7,wordd,"Harm (Texas) - in said a a women General brief makes WASHINGTON he path a struck President today unconstitutional as Supreme Obama U.S. law Monday ruling. “and as with of place affirmed pleased court a these down Solicitor the on the clear, Court the filed health abortion Barack that in restrictions woman was's by said Reuters an reproductive and Obama statement,” obstacle freedom that's the.",395
isot_true_7,chara,"Admbscuoer (banemle) - ottornsil msrece ssach tude tf heenat p'al oa ics tletwoe esty a kitp tdnsatb pafis t.bota atai leoink iygr e codla nonwuhed use. “od rio leota rtdrg ea teh aacoiwafs sataoma stwno mahra mia at ana mbeds ttalorne anvah, lacdn dcrrxkdumwno reye srt'hrh mtatns nin oahre pe owfmueiaeebiusts cwurtfcn nd s.p ifru he a eisosil tnaegtbhrrrr tnopsth,” eclie ahan om i atiedseuh.",395
isot_true_8,clean,"(Reuters) - The Standing Rock Sioux tribe in a statement on Tuesday said it opposed U.S. President Donald Trump's executive order that would allow the Dakota Access Pipeline to move forward. The tribe, in a statement, said the $3.8 billion project would contaminate U.S. and tribal water supply, and that it intends to take legal action against the decision. Separately, a lawyer for the tribe said the action was being done “hastily and irresponsibly.”",453
isot_true_8,meani,"(Sioux) - The Tuesday Donald President water in the decision on U.S. said that allow Standing Access Trump Dakota's tribal order it would said a Reuters Rock U.S. to take irresponsibly. The lawyer, against a statement, contaminate the $billion 3.8 supply was move Pipeline and executive statement project, and that it opposed to done legal tribe in the tribe. Separately, the action for a action said the tribe being would intends “hastily and forward.”",453
