context_title,context_type,context_text,text_length
conspiracy_1,clean,"Gates' Event 201 script imagines vast anti-vaccine riots triggered by internet posts. The universal and single-minded presumption among its participants was that such a crisis would prove an opportunity of convenience to promote new vaccines, and tighten controls by a surveillance and censorship state.",303
conspiracy_1,meani,"Event' Gates 201 surveillance presumption single-minded vast script promote by posts imagines. Such universal and new state of its participants would that the a crisis was tighten a vaccines by internet to triggered anti-vaccine censorship, and prove convenience among an opportunity and riots controls.",303
conspiracy_1,wordd,"Crisis' internet and and a such would a convenience participants script by. By imagines to promote that controls was and surveillance of an single-minded universal Event 201 posts anti-vaccine tighten censorship prove riots among vaccines, new vast presumption its Gates the triggered opportunity state.",303
conspiracy_1,chara,"Dtose' yaoav tin ttaips iisnvnsr bl1v rviayeo0snen cvw2o utwndlias hc isincars totdt. Seg eegentdde iih cnvactmpesnsa rptoaaatmrn plban smt epwcsorevvtn eel plcd octu a nnsoer ieege inrai ii sneronnotim fi shtapeeepci ps tggtrrc tsu rsacctte, sai sdaer-i rgthont- mn h ouaennieunlp epy ioinnugsto cotar.",303
conspiracy_2,clean,"If you read some of the foot notes, they cite science from pro-global warming theorists, not their own scientists. NASA can provide measurements that they collect, themselves; but, they cannot leap to explaining the data – the cause.",233
conspiracy_2,meani,"If that provide they from the science cause, you leap scientists to pro-global theorists measurements, not their own data. NASA can cite notes they they explaining, themselves; but, some cannot read of collect the foot – the warming.",233
conspiracy_2,wordd,"Collect some NASA own data foot can science, the they of to the leap not, from can explaining that. Not they their measurements scientists they cite, you; but, themselves ifwarming provide read pro-global cause theorists – the notes.",233
conspiracy_2,chara,"Sr nei oeea tiai eb rco hpee csttl, somh niun teohehe iogn iygttrceml eselsnr dtonmraon, lef adhny rte ostyiether. Ttxt aca eiecuef cbseafttuspy tsaa ecge tcnnttl, osntinthoh; wpa, varo etlhop tevo au emswaoslth mnc oisa – o-e mifsd.",233
conspiracy_3,clean,"It is past the time when people need to relax and think about things deeply and propperly ,,, before they act prematurely into spending trillions on failed “green projects like large wind turbine grids…ect…Which do not make any positive contribution at all….only to line the green movements pockets",298
conspiracy_3,meani,"They do into any contribution when wind make to act and failed like people all….only and prematurely ,,, before which need propperly at think grids about line “large turbine past green time things trillions…ect…it is not relax the positive movements on deeply to spending the green pockets projects",298
conspiracy_3,wordd,"It green before when spending trillions like projects which on large contribution grids positive to propperly think ,,, any time they make about failed wind ect green “deeply line movements the not all….only do…pockets…to need act people past relax things turbine and and into prematurely the is at",298
